state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Patan,Siddhpur APMC,Castor Seed,Castor seed,FAQ,21/04/2026,6000.0,6430.0,6215.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Patan,Siddhpur APMC,Suva(Dill Seed),Suva (Dill Seed),FAQ,21/04/2026,8200.0,9075.0,8637.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Kapadvanj APMC,Potato,Potato,Medium,21/04/2026,500.0,1000.0,750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Wheat,Other,Local,21/04/2026,2175.0,2400.0,2300.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Cummin Seed(Jeera),Other,Local,21/04/2026,14500.0,22730.0,18615.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Thara APMC,Wheat,Other,FAQ,21/04/2026,2075.0,2805.0,2440.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Bhabhar APMC,Castor Seed,Castor seed,FAQ,21/04/2026,6275.0,6390.0,6340.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Bhabhar APMC,Mustard,Mustard,FAQ,21/04/2026,6150.0,6275.0,6220.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Onion,Nasik,FAQ,21/04/2026,800.0,1400.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Cluster beans,Cluster Beans,Local,21/04/2026,1000.0,3000.0,2500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Bhindi(Ladies Finger),Bhindi,Local,21/04/2026,600.0,1800.0,1500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Pumpkin,Pumpkin,Local,21/04/2026,1000.0,1500.0,1200.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Onion,Onion,Local,21/04/2026,200.0,1500.0,1300.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,French Beans(Frasbean),French Beans (Frasbean),Local,21/04/2026,5000.0,5000.0,5000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Spinach,Spinach,Local,21/04/2026,1000.0,2000.0,1700.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Ginger(Green),Green Ginger,Local,21/04/2026,4000.0,5500.0,5000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Pea Pod/Pea Cod/हरी मटर,Peas cod,Local,21/04/2026,10000.0,10000.0,10000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Potato,Potato,Local,21/04/2026,900.0,1200.0,1100.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,Khambhat(Veg Yard Khambhat) APMC,Methi(Leaves),Methi,Local,21/04/2026,3000.0,5000.0,4000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,Khambhat(Veg Yard Khambhat) APMC,Cabbage,Other,Local,21/04/2026,1000.0,1500.0,1200.0,2026-04-28T19:31:14.006465+00:00
